narrator_id,grade,death_reason,places_of_stay,name_en,name_ar
20627,Successor (Taba' Tabi') [7th generation],Natural,Egypt,Qrh bin 'Abdur Rahman,قرة بن عبد الرحمن
20628,Successor (Taba' Tabi') [7th generation],Natural,"Basra, Egypt",Musa bin 'Ali bin Rabah,موسى بن علي بن رباح
20629,Successor (Taba' Tabi') [7th generation],Natural,Egypt,Nafi' bin Yazid al-Kula'i,نافع بن يزيد الكلاعي
20630,Successor (Taba' Tabi') [9th generation],Natural,al-Baghdad,Ishaq bin 'Isa bin Njyh,إسحاق بن عيسى بن نجيح
20631,Successor (Taba' Tabi') [9th generation],Natural,"al-Wasit, Baghdad",Isma'il bin 'Umar al-Wasty,إسماعيل بن عمر الواسطي
20632,Successor (Taba' Tabi') [9th generation],Natural,"Mada'in, Baghdad",Ali bin Hafs al-Mada'ini,علي بن حفص المدائني
20633,Successor (Taba' Tabi') [9th generation],Natural,"al-Raqqa, Baghdad",Kathir bin Hisham al-Klaby,كثير بن هشام الكلابي أبو سهل الرقي
20634,Successor (Taba' Tabi') [9th generation],Natural,"Basra, Baghdad","Muhammad bin Hameed, Abu Sufyan",محمد بن حميد اليشكري أبو سفيان المعمري
20635,Successor (Taba' Tabi') [8th generation],Natural,Baghdad,Muhammad bin Muslim bin Abi al-Wadah,محمد بن مسلم بن أبي الوضاح
20636,Successor (Taba' Tabi') [9th generation],Natural,"Baghdad, Tursus",Musa bin Da'ud al-Dby,موسى بن داود الضبي أبو عبد الله
20637,Successor (Taba' Tabi') [7th generation],Natural,Syria,Muhammad bin Muhajir bin Abi Muslim,محمد بن مهاجر
20638,Successor (Taba' Tabi') [7th generation],Natural,Damascus,Sa'id bin 'Abdul 'Aziz al-Tanuqi,سعيد بن عبد العزيز التنوخي
20639,Successor (Taba' Tabi') [8th generation],Natural,Damascus,Abdullah bin 'Abdur Rahman bin Yazid,عبد الله بن عبد الرحمن بن يزيد
20640,Successor (Taba' Tabi') [9th generation],Natural,Damascus,Mrwan bin Muhammad bin Hsan,مروان بن محمد بن حسان الأسدي
20641,Successor (Taba' Tabi') [9th generation],Natural,"Damascus, Beruit",Haql bin Ziyad  Muhammad,هقل بن زياد
20642,Successor (Taba' Tabi') [9th generation],Natural,"Talaqan, Merv",Ibrahim bin Ishaq bin 'Isa,إبراهيم بن إسحاق أبو إسحاق الطالقاني
20643,Successor (Taba' Tabi') [8th generation],Natural,Hamadan,Asbat bin Nsr al-Hmdany,أسباط بن نصر الهمداني
20644,Successor (Taba' Tabi') [8th generation],Natural,Hims,Baqiyya bin al-Walid bin Sa'aid,بقية بن الوليد بن صائد
20645,Successor (Taba' Tabi') [7th generation],Natural,Kufa,al-Jarrah bin Malih bin 'Ady,الجراح بن مليح بن عدي
20646,Successor (Taba' Tabi') [7th generation],Natural,"al-Ray, al-Raqqa",Ja'far bin Brqan,جعفر بن برقان
20647,Successor (Taba' Tabi') [7th generation],Natural,"Hamadan, Kufa",al-Hasan bin Salah bin Salah,الحسن بن صالح بن صالح
20648,Successor (Taba' Tabi') [7th generation],Natural,Merv,al-Husain bin Waqid ak-Mervzi,الحسين بن واقد المروزي
20649,Successor (Taba' Tabi') [8th generation],Natural,,Hkam bin Slm,حكام بن سلم
20650,Successor (Taba' Tabi') [9th generation],Natural,"Khurasan,  Kufa",Zayd bin al-Habab al-'Akli,زيد بن الحباب أبو الحسين العكلي
20651,Successor (Taba' Tabi') [7th generation],Natural,Medina,Zayd bin Muhammad bin Zayd,زيد بن محمد بن زيد
20652,Successor (Taba' Tabi') [7th generation],Natural,,Sa'id bin 'Abdur Rahman,سعيد بن عبد الرحمن بن أبي
20653,Successor (Taba' Tabi') [7th generation],Natural,"Yemen, Alexandria",Sa'id bin Yazid al-Humayri,سعيد بن يزيد الحميري القتباني
20654,Successor (Taba' Tabi') [7th generation],Natural,,S'yr bin al-Khms al-Tmymy Abu,سعير بن الخمس
20655,Successor (Taba' Tabi') [7th generation],Natural,"al-Wasit, al-Ray",Sufyan bin Hussain bin al-Hasan,سفيان بن حسين السلمي
20656,Successor (Taba' Tabi') [9th generation],Natural,Basra,Shayban bin Farroukh,شيبان بن فروخ / أبي شيبة
20657,Successor (Taba' Tabi') [8th generation],Natural,"al-Wasit,  Halwan",Salah bin 'Umar al-Wasti,صالح بن عمر الواسطي
20658,Successor (Taba' Tabi') [7th generation],Natural,al-Ta'if,Abdullah bin 'Abdur Rahman bin Ya'la,عبد الله بن عبد الرحمن بن يعلى
20659,Successor (Taba' Tabi') [7th generation],Natural,,Abdul 'Aziz bin al-Rabi',عبد العزيز بن الربيع بن سبرة
20660,Successor (Taba' Tabi') [9th generation],Natural,Makkah,Abdul Majeed bin 'Abdul 'Aziz,عبد المجيد بن عبد العزيز بن أبي رواد
20661,Successor (Taba' Tabi') [7th generation],Natural,Hijaz,Abdul Malik bin Abi Bakr bin Muhammad,عبد الملك بن أبي بكر بن محمد بن عمرو
20662,Successor (Taba' Tabi') [7th generation],Natural,,Abdul Malik bin al-Rabi',عبد الملك بن الربيع بن سبرة بن معبد
20663,Successor (Taba' Tabi') [9th generation],Natural,Nisa',Abu Nasr al-Tamar,أبو نصر التمار
20664,Successor (Taba' Tabi') [7th generation],Natural,Kufa,Abdul Malik bin Ma'n,عبد الملك بن معن بن عبد الرحمن
20665,Successor (Taba' Tabi') [9th generation],Natural,Kufa,Ubaid bin Sa'id bin Aban bin Sa'id,عبيد بن سعيد بن أبان بن سعيد
20666,Successor (Taba' Tabi') [7th generation],Natural,,Uqba bin al-Tw'am,عقبة بن التوأم
20667,Successor (Taba' Tabi') [9th generation],Natural,Musal,Umar bin Ayoub al-Bdy,عمر بن أيوب العبدي
20668,Successor (Taba' Tabi') [9th generation],Natural,,Umar bin Sa'd bin 'Ubaid,عمر بن سعد بن عبيد أبو داود
20669,Successor (Taba' Tabi') [9th generation],Natural,Nisapur,Umar bin 'Abdullah,عمر بن عبد الله بن رزين
20670,Successor (Taba' Tabi') [7th generation],Natural,"al-Hims, al-Ray",Isa bin Slym al-Hmsy,عيسى بن سليم الحمصي الرستني
20671,Successor (Taba' Tabi') [9th generation],Natural,Mada'in,Muhammad bin Ja'far al-Bazaz,محمد بن جعفر البزاز
20672,Successor (Taba' Tabi') [9th generation],Natural,,Muhammad bin Salmah,محمد بن سلمة بن عبد الله الباهلي
20673,Successor (Taba' Tabi') [9th generation],Natural,Egypt,Muhammad bin 'Amr al-Yafa'i,محمد بن عمرو اليافعي
20674,Successor (Taba' Tabi') [8th generation],Natural,"al-Ta'if, Makkah",Muhammad bin Muslim al-Ta'ifi,محمد بن مسلم بن سوسن الطائفي
20675,Successor (Taba' Tabi') [7th generation],Natural,"al-Hims,  Abdulas",Mu'awiya bin Salah bin Hadayr,معاوية بن صالح بن حدير
20676,Successor (Taba' Tabi') [8th generation],Natural,,Mua'wiya bin Amar bin Aby,معاوية بن عمار بن أبي معاوية الدهني
20677,Successor (Taba' Tabi') [8th generation],Natural,,Ma'ql bin 'Ubaidullah,معقل بن عبيد الله الجزري أبو عبد
20678,Successor (Taba' Tabi') [9th generation],Natural,al-Ray',Yahya bin al-Darays,يحيى بن الضريس
20679,Successor (Taba' Tabi') [9th generation],Natural,Basra,Y'aqub bin Ishaq bin Zayd,يعقوب بن إسحاق بن زيد
20700,Successor (Taba' Tabi') [7th generation],Natural,Medina,Habib bin Zayd bin Khallad,حبيب بن زيد بن خلاد
20701,Successor (Taba' Tabi') [7th generation],Natural,Medina,Abdur Rahman bin Harith bin 'Ayyash,عبد الرحمن بن الحارث بن عياش
20702,Successor (Taba' Tabi') [8th generation],Natural,"Medina, Syria",Abdur Rahman bin Abi Rajal,عبد الرحمن بن أبي الرجال بن عبد الرحمن
20703,Successor (Taba' Tabi') [7th generation],Natural,Medina,Muhammad bin Salah bin Dinar al-Tamar,محمد بن صالح بن دينار التمار
20704,Successor (Taba' Tabi') [7th generation],Natural,Medina,Muhammad bin 'Umara bin 'Amr,محمد بن عمارة بن عمرو
20705,Successor (Taba' Tabi') [7th generation],Natural,Medina,Mjahd bin Wrdan al-Madni,مجاهد بن وردان المدني
20706,Successor (Taba' Tabi') [7th generation],Natural,Medina,Musa bin Y'aqub bin 'Abdullah bin Wahb,موسى بن يعقوب بن عبد الله بن وهب
20707,Successor (Taba' Tabi') [7th generation],Natural,Medina,Hisham bin Ishaq bin 'Abdullah,هشام بن إسحاق بن عبد الله بن الحارث
20708,Successor (Taba' Tabi') [8th generation],Natural,"al-Basra, Makkah",al-Harith bin 'Umayr Abu,الحارث بن عمير أبو عمير
20709,Successor (Taba' Tabi'),Natural,Hijaz,Ja'far bin Khalid bin Sarah,جعفر بن خالد بن سارة
20710,Successor (Taba' Tabi') [8th generation],Natural,"Syria, al-Basra, Wasit",Sa'id bin Basahyr al-Azdi,سعيد بن بشير الأزدي
20711,Successor (Taba' Tabi') [9th generation],Natural,al-Basra,Sufyan bin Habib al-Basri,سفيان بن حبيب البصري
20712,Successor (Taba' Tabi') [9th generation],Natural,al-Basra,Sahl bin Yusuf al-Anmaty,سهل بن يوسف الأنماطي
20713,Successor (Taba' Tabi') [7th generation],Natural,al-Basra,Suhayl bin Abi Hazm al-Qata'i,سهيل بن أبي حزم القطعي
20714,Successor (Taba' Tabi') [7th generation],Natural,"al-Yamama, al-Basra",Salah bin Abi al-Akhdr,صالح بن أبي الأخضر اليمامي مولى هشام
20715,Successor (Taba' Tabi') [7th generation],Natural,"Khurasan, al-Basra, al-Syria",Abdullah bin Shwdhb,عبد الله بن شوذب الخراساني أبو عبد
20716,Successor (Taba' Tabi') [7th generation],Natural,al-Basra,Ali bin 'Ali bin Njad,علي بن علي بن نجاد
20717,Successor (Taba' Tabi') [7th generation],Natural,al-Basra,Amr bin Malik al-Nkri,عمرو بن مالك النكري
20718,Successor (Taba' Tabi') [7th generation],Natural,al-Basra,Imran bin Da'ud al-'Ami Abu al-'Awwam,عمران بن داود العمي أبو العوام القطان
20719,Successor (Taba' Tabi') [7th generation],Natural,"Damascus, al-Basra",Muhammad bin Rashid al-Mkhwly,محمد بن راشد المكحولي الخزاعي الدمشقي
20720,Successor (Taba' Tabi') [7th generation],Natural,al-Basra,Nasr bin 'Ali bin Asbahan,نصر بن علي الجهضمي الكبير
20721,Successor (Taba' Tabi') [7th generation],Natural,al-Kufa,Aban bin 'Abdullah bin Abi Hazam,أبان بن عبد الله بن أبي حازم
20722,Successor (Taba' Tabi') [7th generation],Natural,al-Kufa,Sa'd bin Aws al-Bsy,سعد بن أوس العبسي
20723,Successor (Taba' Tabi') [8th generation],Natural,"al-Kufa, Baghdad",Abdullah bin Aqyl,عبد الله بن عقيل أبو عقيل الثقفي
20724,Successor (Taba' Tabi') [7th generation],Natural,al-Kufa,Abdur Rahman bin 'Abdullah bin 'Utba,عبد الرحمن بن عبد الله بن عتبة المسعودي
20725,Successor (Taba' Tabi') [9th generation],Natural,"al-Kufa, al-Ray,  Jordon",Abdur Rahman bin Mghra'a,عبد الرحمن بن مغراء
20726,Successor (Taba' Tabi') [8th generation],Natural,"Kufa, al-Ray",Amr bin Abi Qays,عمرو بن أبي قيس الرازي الأزرق كوفي
20727,Successor (Taba' Tabi') [7th generation],Natural,al-Kufa,Muhammad bin 'Abdur Rahman bin Abi Layla,محمد بن عبد الرحمن بن أبي ليلى
20728,Successor (Taba' Tabi') [7th generation],Natural,al-Kufa,Abu Khalid al-Dalani,أبو خالد الدالاني الأسدي
20729,Successor (Taba' Tabi') [7th generation],Natural,"al-Ray, Damascus, Baghdad",Hisham bin al-Ghaz bin Rabi'ya,هشام بن الغاز بن ربيعة الجرشي
20730,Successor (Taba' Tabi'),Natural,Syria,Abu Salma al-Himsi Suliaman bin Saleem,أبو سلمة الحمصي
20731,Successor (Taba' Tabi') [7th generation],Natural,Damascus,Abdur Rahman bin Thabit,عبد الرحمن بن ثابت بن ثوبان العنسي
20732,Successor (Taba' Tabi') [9th generation],Natural,"Damascus, Beruit",Muhammad bin Shu'aib bin Shabur,محمد بن شعيب بن شابور
20733,Successor (Taba' Tabi') [8th generation],Natural,Damascus,al-Walid bin Muslim al-Quraishi,الوليد بن مسلم القرشي
20734,Successor (Taba' Tabi') [9th generation],Natural,Hims,Ahmed bin Khalid bin Musa al-Wahbi,أحمد بن خالد بن موسى الوهبي
20735,Successor (Taba' Tabi') [7th generation],Natural,,Ajlah bin 'Abdullah bin Hujya,أجلح بن عبد الله بن حجية
20736,Successor (Taba' Tabi') [8th generation],Natural,al-Hims,Isma'il bin Ayyash bin Saleem,إسماعيل بن عياش بن سليم
20737,Successor (Taba' Tabi') [7th generation],Natural,al-Wasit,Hjaj bin Dinar,حجاج بن دينار
20738,Successor (Taba' Tabi') [9th generation],Natural,,Dmrh bin Rabi'ya al-Flstyny,ضمرة بن ربيعة الفلسطيني أبو عبد الله
20739,Successor (Taba' Tabi') [7th generation],Natural,Makkah,Abdul 'Aziz bin Abi Ruwad,عبد العزيز بن أبي رواد
20740,Successor (Taba' Tabi') [7th generation],Natural,,Ayana bin 'Abdur rahman bin Jushan,عيينة بن عبد الرحمن بن جوشن
20741,Successor (Taba' Tabi') [7th generation],Natural,,Muhammad bin 'Abdullah bin al-Muhajir,محمد بن عبد الله بن المهاجر
20742,Successor (Taba' Tabi') [9th generation],Natural,al-Wasit,Mstlm bin Sa'id al-Thqfy al-Wasty,مستلم بن سعيد الثقفي
20743,Successor (Taba' Tabi') [8th generation],Natural,al-Yamama,Malazm bin 'Amr - Lazaym,ملازم بن عمرو اليمامي - لزيم
20744,Successor (Taba' Tabi') [7th generation],Natural,,al-Hythm bin Hameed al-Ghsany,الهيثم بن حميد الغساني مولاهم أبو أحمد
20745,Successor (Taba' Tabi') [8th generation],Natural,,Y'aqub bin 'Abdullah,يعقوب بن عبد الله بن سعد
20746,Successor (Taba' Tabi') [7th generation],Natural,"Basra, al-Ray, Merv",Abu Ja'far al-Razi,أبو جعفر الرازي
21100,Successor (Taba' Tabi'),Natural,,al-Ys' bin Qays al-Bahla,اليسع بن قيس
21101,Successor (Taba' Tabi'),Natural,,Yonus bin Abd Rbh,يونس بن عبد ربه
21102,Successor (Taba' Tabi'),Natural,Makkah,Y'aqub bin Jbyr Abu Yusuf,يعقوب بن جبير
21103,Successor (Taba' Tabi'),Natural,Medina,Y'aqub bin Khalid bin al-Msyb,يعقوب بن خالد
21104,Successor (Taba' Tabi'),Natural,Yemen,Yusuf bin Y'aqub bin Ibrahim,يوسف بن يعقوب بن إبراهيم
21105,Successor (Taba' Tabi'),Natural,Medina,Yusuf bin Yonus bin Hmas,يوسف بن يونس
21106,Successor (Taba' Tabi'),Natural,,Yusuf bin 'Abdullah Abu,يوسف بن عبد الله
21107,Successor (Taba' Tabi'),Natural,,Yazid bin Y'fr,يزيد بن يعفر
21108,Successor (Taba' Tabi'),Natural,Egypt,Yazid bin Y'aqub al-Ma'afry,يزيد بن يعقوب المعافري
21109,Successor (Taba' Tabi'),Natural,Kufa,Yazid bin Mrdanbh al-Quraishi al-Tajr,يزيد بن مردانبة
21110,Successor (Taba' Tabi'),Natural,Merv,Yazid bin 'Uqba Abu Muhammad,يزيد بن عقبة
21111,Successor (Taba' Tabi'),Natural,,Yazid bin 'Umar al-Tmymy,يزيد بن عمر التميمي
21112,Successor (Taba' Tabi'),Natural,,Yazid Abu Sulaiman,يزيد أبو سليمان
21113,Successor (Taba' Tabi'),Natural,,Yazid bin S'hyl bin Muslim,يزيد بن سهيل
21114,Successor (Taba' Tabi'),Natural,,Yazid bin Husayn bin Nmyr,يزيد بن حصين
21115,Successor (Taba' Tabi'),Natural,,Yahya bin Qays al-Kndy,يحيى بن قيس الكندي
21116,Successor (Taba' Tabi'),Natural,,Yahya bin Abd al-Wahd al-Thqfa,يحيى بن عبد الواحد
21117,Successor (Taba' Tabi'),Natural,,Yahya bin Salam al-Bdy,يحيى بن سلام العبدي
21118,Successor (Taba' Tabi'),Natural,,Yahya bin Jrjh,يحيى بن جرجة
21119,Successor (Taba' Tabi'),Natural,,Yahya bin Yazid bin Abd,يحيى بن يزيد
21120,Successor (Taba' Tabi'),Natural,,Yahya bin al-Mndhr bin Khalid,يحيى بن المنذر
21121,Successor (Taba' Tabi'),Natural,,Harun bin Rashid,هارون بن راشد
21122,Successor (Taba' Tabi'),Natural,,Harun bin Abi Ibrahim al-Brbry,هارون بن أبي إبراهيم
21123,Successor (Taba' Tabi'),Natural,,Harun Abu Qz'h,هارون أبو قزعة
21124,Successor (Taba' Tabi'),Natural,al-Basra,al-Hythm bin Ubaid,الهيثم بن عبيد
21125,Successor (Taba' Tabi'),Natural,al-Ray,al-Hythm bin Bdr,الهيثم بن بدر
21126,Successor (Taba' Tabi'),Natural,,Hilal bin N'ym,هلال بن نعيم
21127,Successor (Taba' Tabi'),Natural,,Hisham bin Qhdhm bin Salman,هشام بن قحذم
21128,Successor (Taba' Tabi'),Natural,Kufa,Hisham Abu Klyb,هشام أبو كليب
21129,Successor (Taba' Tabi'),Natural,,Hisham bin Lahq Shykh Nsra,هشام بن لاحق
21130,Successor (Taba' Tabi'),Natural,"Wasit, Wasit, Wasit",Wast bin al-Harith bin Hwshb,واسط بن الحارث
21131,Successor (Taba' Tabi'),Natural,,al-Walid bin 'Isa bin Wahub,الوليد بن عيسى
21132,Successor (Taba' Tabi'),Natural,"al-Basra, Medina",al-Walid bin Ziyad Mwla 'Uthman,الوليد بن زياد مولى
21133,Successor (Taba' Tabi'),Natural,,al-Walid bin Abi Zynb Yrwy,الوليد بن أبي زينب
21134,Successor (Taba' Tabi'),Natural,,al-Walid bin Ubaid bin Aba,الوليد بن عبيد
21135,Successor (Taba' Tabi'),Natural,,Ndyr bin Qays Wqd Qyl,نضير بن قيس
21136,Successor (Taba' Tabi'),Natural,al-Basra,Njm bin Frqd Abu 'Amir,نجم بن فرقد
21137,Successor (Taba' Tabi'),Natural,,Njm bin Dinar Abu Ata'a,نجم بن دينار
21138,Successor (Taba' Tabi'),Natural,al-Basra,Nhshl bin 'Abdur Rahman al-Bsry,نهشل بن عبد
21139,Successor (Taba' Tabi'),Natural,,Nsr bin Hajb al-Quraishi,نصر بن حاجب
21140,Successor (Taba' Tabi'),Natural,al-Basra,Nsr bin Njyh al-'Ash'ry,نصر بن نجيح الأشعري
21153,Successor (Taba' Tabi'),Natural,,Mtr bin Abi Mtr,مطر بن أبي مطر
21154,Successor (Taba' Tabi'),Natural,,Mtrf bin Ma'ql Abu Bakr,مطرف بن معقل
21155,Successor (Taba' Tabi'),Natural,,Ma'la bin Maymun al-Mjash'y Akhw,معلى بن ميمون
21156,Successor (Taba' Tabi'),Natural,,Ma'ql bin 'Abdullah,معقل بن عبد
21157,Successor (Taba' Tabi'),Natural,,Mukhtar bin S'ad Mwla bina,مختار بن سعد
21158,Successor (Taba' Tabi'),Natural,,Ma'mr bin Zayd,معمر بن زيد
21159,Successor (Taba' Tabi'),Natural,al-Basra,Mrwan bin Nhyk,مروان بن نهيك
21160,Successor (Taba' Tabi'),Natural,,Mua'dh Abu Zhrh al-Dby,معاذ أبو زهرة
21161,Successor (Taba' Tabi'),Natural,,Mrwan bin Khaqan,مروان بن خاقان
21162,Successor (Taba' Tabi'),Natural,,Mndhr bin S'ad,منذر بن سعد
21163,Successor (Taba' Tabi'),Natural,,Mndhr bin al-Mughira,منذر بن المغيرة
21164,Successor (Taba' Tabi'),Natural,Medina,Mus'ab bin Nwh al-Ansari,مصعب بن نوح
21165,Successor (Taba' Tabi'),Natural,,Mus'ab bin Mus'ab bin Abd,مصعب بن مصعب
21166,Successor (Taba' Tabi'),Natural,,Mnswr bin Dinar al-Dby,منصور بن دينار
21167,Successor (Taba' Tabi'),Natural,al-Basra,Maymun bin Ajlan al-Rb'y,ميمون بن عجلان
21168,Successor (Taba' Tabi'),Natural,al-Basra,Maymun bin Njyh Abu al-Hasan,ميمون بن نجيح
21169,Successor (Taba' Tabi'),Natural,,Maymun Abu Talha,ميمون أبو طلحة
21170,Successor (Taba' Tabi'),Natural,,Maymun Abu Kathir,ميمون أبو كثير
21171,Successor (Taba' Tabi'),Natural,,Mua'wiya bin 'Abdur Rahman,معاوية بن عبد الرحمن
21172,Successor (Taba' Tabi'),Natural,Medina,Mua'wiya bin Abi Ayash al-Zrqy,معاوية بن أبي عياش
21173,Successor (Taba' Tabi'),Natural,al-Basra,Mughira bin Habib Khtn Malik,مغيرة بن حبيب
21174,Successor (Taba' Tabi'),Natural,,Malik bin Abi al-Hasan,مالك بن أبي الحسن
21175,Successor (Taba' Tabi'),Natural,al-Wasit,Malik bin al-Hasan bin Malik,مالك بن الحسن
21176,Successor (Taba' Tabi'),Natural,,Malik bin 'Ubaid'h bin Msaf',مالك بن عبيدة
21177,Successor (Taba' Tabi'),Natural,Medina,Malik bin Abi al-Mu'ml,مالك بن أبي المؤمل
21178,Successor (Taba' Tabi'),Natural,,Malik bin Dmrh al-Najy,مالك بن ضمرة
21179,Successor (Taba' Tabi'),Natural,Kufa,Musa bin Muhammad al-Ansari Abu,موسى بن محمد الأنصاري
21180,Successor (Taba' Tabi'),Natural,Kufa,Musa bin 'Abdul Malik bin 'Umayr,موسى بن عبد الملك
21181,Successor (Taba' Tabi'),Natural,Medina,Musa bin Jbyr al-Madni Mwla,موسى بن جبير المدني
21182,Successor (Taba' Tabi'),Natural,Medina,Musa bin Abi Ishaq al-Ansari,موسى بن أبي إسحاق
21183,Successor (Taba' Tabi'),Natural,,Musa bin 'Imran bin Mnah,موسى بن عمران
21184,Successor (Taba' Tabi'),Natural,,Musa bin Mnah,موسى بن مناح
21185,Successor (Taba' Tabi'),Natural,,Muslim bin Ata'a,مسلم بن عطاء
21186,Successor (Taba' Tabi'),Natural,,Muslim bin Sh'bh,مسلم بن شعبة
21187,Successor (Taba' Tabi'),Natural,,Muslim bin Atyh al-Fqymy,مسلم بن عطية
21188,Successor (Taba' Tabi'),Natural,"Kufa, Kufa",Muhammad bin Ziyad al-Than Kwfa,محمد بن زياد الطحان
21189,Successor (Taba' Tabi'),Natural,,Muhammad bin 'Umar bin Aba,محمد بن عمر بن أبي عبيدة
21190,Successor (Taba' Tabi'),Natural,Makkah,Muhammad bin Sulaiman bin Msmwl,محمد بن سليمان بن مسمول
21191,Successor (Taba' Tabi'),Natural,,Muhammad bin Abd al-Wahd bin Qays,محمد بن عبد الواحد بن قيس
21192,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin al-Mundhir bin al-Zubiar,محمد بن المنذر بن الزبير
21193,Successor (Taba' Tabi'),Natural,,Muhammad bin Mghyth,محمد بن مغيث
21194,Successor (Taba' Tabi'),Natural,Syria,Muhammad bin Sulaiman Abu Dmrh,محمد بن سليمان
21195,Successor (Taba' Tabi'),Natural,,Muhammad bin Abi al-Nwar,محمد بن أبي النوار
21196,Successor (Taba' Tabi'),Natural,,Muhammad bin Nsyr Abu Nsyr,محمد بن نصير
21197,Successor (Taba' Tabi'),Natural,al-Ta'if,Muhammad bin Abi Maryam al-Ta'ify,محمد بن أبي مريم
21198,Successor (Taba' Tabi'),Natural,Kufa,Muhammad bin Ala al-Slmy,محمد بن علي السلمي
21199,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin Sa'dan bin 'Abdullah,محمد بن سعدان بن عبد الله بن جابر القرشي
21200,Successor (Taba' Tabi'),Natural,,Muhammad bin S'aid,محمد بن سعيد بن عبد الرحمن
21201,Successor (Taba' Tabi'),Natural,"Medina, Medina",Muhammad bin S'aid,محمد بن سعيد بن عبد الملك
21202,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin Musa bin Abd,محمد بن موسى
21203,Successor (Taba' Tabi'),Natural,,Muhammad bin 'Amr bin Thabit,محمد بن عمرو بن ثابت
21204,Successor (Taba' Tabi'),Natural,,Muhammad bin Abi 'Asim Shykh,محمد بن أبي عاصم
21205,Successor (Taba' Tabi'),Natural,Egypt,Muhammad bin Rashid bin Aba,محمد بن راشد
21206,Successor (Taba' Tabi'),Natural,,Muhammad bin al-Rabi'y bin K'ab,محمد بن الربيع
21207,Successor (Taba' Tabi'),Natural,,Muhammad bin Salam al-Khza'y,محمد بن سلام الخزاعي
21208,Successor (Taba' Tabi'),Natural,,Muhammad bin Khwt,محمد بن خوط
21209,Successor (Taba' Tabi'),Natural,"al-Basra, al-Basra",Muhammad bin al-Khtab bin Jbyr,محمد بن الخطاب
21210,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin Hdhyfh bin D'ab,محمد بن حذيفة
21211,Successor (Taba' Tabi'),Natural,al-Basra,Muhammad bin Frwkh Abu Sahl,محمد بن فروخ
21212,Successor (Taba' Tabi'),Natural,al-Basra,Muhammad bin Arfth al-Ta'iy,محمد بن عرفطة الطائي
21213,Successor (Taba' Tabi'),Natural,al-Ta'if,Muhammad bin 'Abdullah bin Aflah,محمد بن عبد الله
21214,Successor (Taba' Tabi'),Natural,,Muhammad bin Abi Twyl,محمد بن أبي طويل
21215,Successor (Taba' Tabi'),Natural,,Muhammad bin Abi al-Blat Abu,محمد بن أبي البلاط
21216,Successor (Taba' Tabi'),Natural,"Egypt, Hamadan",Muhammad bin Smyr al-R'yny Knyt'h,محمد بن سمير
21217,Successor (Taba' Tabi'),Natural,,Muhammad bin Isma'il bin Sa'd,محمد بن إسماعيل بن سعد
21218,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin Isma'il bin Mjm',محمد بن إسماعيل بن مجمع
21219,Successor (Taba' Tabi'),Natural,Hims,Muhammad bin Abi Jmylh al-Nsra,محمد بن أبي جميلة
21220,Successor (Taba' Tabi'),Natural,Egypt,Muhammad bin 'Abdur Rahman Abu,محمد بن عبد الرحمن أبو عيسى
21221,Successor (Taba' Tabi'),Natural,Medina,Muhammad bin al-Hjaj,محمد بن الحجاج
21222,Successor (Taba' Tabi'),Natural,Kufa,Muhammad bin Qays al-Nkh'y,محمد بن قيس النخعي
21223,Successor (Taba' Tabi'),Natural,,Muhammad bin Abi Bakr,محمد بن أبي بكر
21224,Successor (Taba' Tabi'),Natural,,Muhammad bin Sulaiman bin Ala,محمد بن سليمان بن علي
21225,Successor (Taba' Tabi'),Natural,,Muhammad bin Salmah bin K'hyl,محمد بن سلمة
21226,Successor (Taba' Tabi'),Natural,,Muhammad bin Bilal al-Quraishi,محمد بن بلال القرشي
21227,Successor (Taba' Tabi'),Natural,,Muhammad bin Khalid Abu Yahya,محمد بن خالد
21228,Successor (Taba' Tabi'),Natural,al-Basra,Muhammad bin Bstam Abu Hafs,محمد بن بسطام
21229,Successor (Taba' Tabi'),Natural,,Muhammad bin 'Abdur Rahman bin Aba,محمد بن عبد الرحمن بن أبي لبيبة
21230,Successor (Taba' Tabi'),Natural,,Lwdhan bin Sulaiman,لوذان بن سليمان
21231,Successor (Taba' Tabi'),Natural,,K'ab Abu al-Ma'la,كعب أبو المعلى
21232,Successor (Taba' Tabi'),Natural,al-Syria,Khultum bin Ziyad Abu 'Amr,كلثوم بن زياد
21233,Successor (Taba' Tabi'),Natural,,Kathir bin Ysar Abu al-Fadl,كثير بن يسار
21234,Successor (Taba' Tabi'),Natural,,Kathir bin Habaysh,كثير بن حبيش
21235,Successor (Taba' Tabi'),Natural,,Qrzh bin Artah,قرظة بن أرطاة
21236,Successor (Taba' Tabi'),Natural,al-Ramla,al-Qasim bin Ghsn,القاسم بن غصن
21237,Successor (Taba' Tabi'),Natural,Kufa,Qays bin Abi Muslim,قيس بن أبي مسلم
21238,Successor (Taba' Tabi'),Natural,,Fyad bin Ghzwan,فياض بن غزوان
21239,Successor (Taba' Tabi'),Natural,"al-Basra, al-Basra",Frqd bin al-Hjaj al-Quraishi al-Bsry,فرقد بن الحجاج
